146:Array[-0.05253635572855715,1574094727486]
147:Array[0.193960954941988,1574094727506]
148:Array[0.4001903671739865,1574094727527]
149:Array[-0.12451201830591462,1574094727547]
150:Array[-0.028289367464711494,1574094727568]
151:Array[-0.021091134075594514,1574094727589]
152:Array[-0.007080449824449633,1574094727610]
153:Array[-0.023161668379941262,1574094727631]
154:Array[-0.017742230116035297,1574094727651]
155:Array[-0.0161989948675963,1574094727672]
156:Array[-0.015260330166314479,1574094727692]
157:Array[0.013934042336555916,1574094727714]
158:Array[0.00938683720243881,1574094727734]
159:Array[0.010115600691536941,1574094727799]
160:Array[-0.010721956680666625,1574094727803]
161:Array[-0.006525838393080269,1574094727807]
162:Array[-0.013372829667583228,1574094727812]
163:Array[-0.004371165829433393,1574094727816]
164:Array[-0.04168980173020892,1574094727820]
165:Array[-0.039482438616768284,1574094727823]
166:Array[-0.025549246386198543,1574094727828]
167:Array[-0.023848556197051063,1574094727832]
168:Array[-0.03506611357745597,1574094727836]
169:Array[-0.022419142911025786,1574094727840]
170:Array[-0.03130102924915492,1574094727844]
171:Array[-0.015103610272937325,1574094727848]
172:Array[-0.014262625029051384,1574094727853]
173:Array[-0.00023693226719420386,1574094727857]
174:Array[-0.0064940011591070575,1574094727861]
175:Array[-0.00017910609860474075,1574094727866]
176:Array[-0.007725314555977289,1574094727869]
177:Array[0.005216535351719308,1574094727873]
178:Array[-0.006229576357872038,1574094727877]
179:Array[-0.008527291851577551,1574094727881]
180:Array[0.003401764111482325,1574094727885]
181:Array[0.012557998730455745,1574094727889]
182:Array[-0.0018056341825218453,1574094727894]
183:Array[0.01281855656644678,1574094727898]
184:Array[0.0032979990017744584,1574094727902]
185:Array[0.016505806233986793,1574094727907]
186:Array[0.011956545257885198,1574094727910]
187:Array[0.007409686220535519,1574094727914]
188:Array[0.0053356036143428626,1574094727918]
189:Array[0.004901069214426491,1574094727922]
190:Array[0.028284533075622342,1574094727926]
191:Array[-0.0027656248417715426,1574094727930]
192:Array[-0.020095458973709505,1574094727939]
193:Array[-0.013148460563099228,1574094727943]
194:Array[-0.012779709247492664,1574094727947]
195:Array[0.003056882959390223,1574094727951]
196:Array[-0.0031042379750313566,1574094727955]
197:Array[-0.017886815254453965,1574094727959]
198:Array[-0.02310968813487635,1574094727963]
199:Array[-0.014748386577159964,1574094727967]
200:Array[-0.01175255197977001,1574094727971]
201:Array[-0.009044010787539322,1574094727975]
202:Array[-0.013627862466107733,1574094727979]
203:Array[-0.020157615760010097,1574094727984]
204:Array[-0.016107345240876158,1574094727988]
205:Array[-0.009628841113321792,1574094727992]
206:Array[0.008318463004139395,1574094727996]
207:Array[-0.0013153609238179863,1574094728004]
208:Array[-0.02847446465786276,1574094728000]
